,Price,company,name,year,kms_driven,transmission,fuel_type
81,600.000.000 đ,Kia,Sonet,2022.0,12000.0,Tự động,Xăng
82,669.000.000 đ,Mitsubishi,Outlander,2018.0,38000.0,Tự động,Xăng
84,565.000.000 đ,Vinfast,Lux A2.0,2019.0,67000.0,Tự động,Xăng
85,790.000.000 đ,Mercedes Benz,C Class,2016.0,40000.0,Tự động,Xăng
86,425.000.000 đ,Kia,Cerato,2014.0,60000.0,Tự động,Xăng
88,450.000.000 đ,Toyota,Sienna,2008.0,66000.0,Tự động,Xăng
89,522.000.000 đ,Hyundai,Accent,2022.0,9000.0,Tự động,Xăng
90,66.000.000 đ,Daewoo,Matiz,2006.0,20000.0,Số sàn,Xăng
91,939.000.000 đ,Ford,Everest,2020.0,42000.0,Tự động,Dầu
92,1.380.000.000 đ,Toyota,Sienna,2012.0,68000.0,Tự động,Xăng
93,830.000.000 đ,Toyota,Innova,2022.0,39000.0,Tự động,Xăng
94,645.000.000 đ,Mitsubishi,Outlander,2018.0,70000.0,Tự động,Xăng
95,400.000.000 đ,Toyota,Camry,2012.0,95678.0,Tự động,Xăng
96,525.000.000 đ,Chevrolet,Colorado,2019.0,45000.0,Tự động,Dầu
97,910.000.000 đ,Toyota,Camry,2019.0,57000.0,Tự động,Xăng
98,878.000.000 đ,Mazda,CX 8,2021.0,50500.0,Tự động,Xăng
99,70.000.000 đ,Daewoo,Nubira,2002.0,39000.0,Số sàn,Xăng
100,591.000.000 đ,Mazda,6,2020.0,150000.0,Tự động,Xăng
101,199.000.000 đ,Nissan,Cefiro,2004.0,135000.0,Tự động,Xăng
102,320.000.000 đ,BMW,3 Series,2011.0,95000.0,Tự động,Xăng
103,488.000.000 đ,Hyundai,Accent,2021.0,35000.0,Tự động,Xăng
104,2.299.000.000 đ,Mercedes Benz,E Class,2022.0,1500.0,Tự động,Xăng
105,520.000.000 đ,Honda,Civic,2018.0,43000.0,Tự động,Xăng
106,585.000.000 đ,Ford,Transit,2018.0,80000.0,Số sàn,Dầu
107,265.000.000 đ,Mitsubishi,Grandis,2006.0,135.0,Tự động,Xăng
108,328.000.000 đ,Chevrolet,Cruze,2018.0,37000.0,Số sàn,Xăng
109,475.000.000 đ,Mazda,3,2017.0,70000.0,Tự động,Xăng
110,615.000.000 đ,Vinfast,Lux A2.0,2021.0,23000.0,Tự động,Xăng
111,558.999.999 đ,Toyota,Rush,2020.0,28000.0,Tự động,Xăng
112,465.000.000 đ,Honda,City,2019.0,40000.0,Tự động,Xăng
113,43.000.000 đ,Toyota,Hiace,2003.0,150000.0,Số sàn,Xăng
115,440.000.000 đ,Kia,Cerato,2019.0,78000.0,Số sàn,Xăng
116,490.000.000 đ,Hyundai,Grand Starex,2014.0,12000.0,Số sàn,Dầu
117,165.000.000 đ,Toyota,Innova,2007.0,195000.0,Số sàn,Xăng
118,139.000.000 đ,Suzuki,Vitara,2004.0,100000.0,Tự động,Xăng
119,785.000.000 đ,Mazda,CX 5,2019.0,38000.0,Tự động,Xăng
120,455.000.000 đ,Ford,Everest,2014.0,86000.0,Tự động,Dầu
121,415.000.000 đ,Toyota,Vios,2018.0,67899.0,Tự động,Xăng
122,225.000.000 đ,Toyota,Innova,2010.0,150000.0,Số sàn,Xăng
123,520.000.000 đ,Mitsubishi,Xpander,2019.0,48000.0,Tự động,Xăng
124,2.739.000.000 đ,Mercedes Benz,C Class,2022.0,46.0,Tự động,Xăng
125,645.000.000 đ,Vinfast,Lux A2.0,2021.0,36000.0,Tự động,Xăng
126,288.000.000 đ,Vinfast,Fadil,2019.0,46000.0,Tự động,Xăng
127,790.000.000 đ,Audi,Q3,2016.0,55000.0,Tự động,Xăng
128,479.000.000 đ,Mazda,CX 5,2014.0,7.0,Tự động,Xăng
129,1.990.000.000 đ,Porsche,Macan,2016.0,41000.0,Tự động,Xăng
130,460.000.000 đ,Mitsubishi,Triton,2019.0,70000.0,Tự động,Dầu
131,648.000.000 đ,Toyota,Innova,2021.0,40000.0,Số sàn,Xăng
132,588.000.000 đ,Peugeot,3008,2018.0,31000.0,Tự động,Xăng
133,435.000.000 đ,Hyundai,Grand Starex,2016.0,70000.0,Số sàn,Dầu
134,360.000.000 đ,Kia,Soluto,2020.0,30000.0,Tự động,Xăng
135,370.000.000 đ,Toyota,Wigo,2021.0,21000.0,Tự động,Xăng
137,425.000.000 đ,Toyota,Fortuner,2010.0,150000.0,Số sàn,Dầu
138,725.000.000 đ,Honda,CR V,2018.0,50000.0,Tự động,Xăng
139,859.000.000 đ,Toyota,Fortuner,2018.0,60000.0,Tự động,Dầu
140,1.056.000.000 đ,Kia,Sorento,2022.0,40000.0,Tự động,Dầu
141,320.000.000 đ,Toyota,Innova,2015.0,90000.0,Số sàn,Xăng
142,439.000.000 đ,Mitsubishi,Triton,2017.0,92000.0,Tự động,Dầu
143,305.000.000 đ,Hyundai,Santa Fe,2008.0,160000.0,Tự động,Xăng
144,147.000.000 đ,Kia,Morning,2008.0,124000.0,Tự động,Xăng
145,575.000.000 đ,Mitsubishi,Xpander Cross,2021.0,2000.0,Tự động,Xăng
146,185.000.000 đ,Kia,Morning,2009.0,192000.0,Tự động,Xăng
147,175.000.000 đ,Toyota,Vios,2009.0,20000.0,Số sàn,Xăng
148,333.000.000 đ,Mazda,6,2011.0,69.0,Tự động,Xăng
149,435.000.000 đ,Ford,Ranger,2016.0,123456.0,Tự động,Dầu
150,438.000.000 đ,Mazda,3,2017.0,69000.0,Tự động,Xăng
151,830.000.000 đ,Kia,K5,2022.0,7000.0,Tự động,Xăng
152,664.000.000 đ,Kia,K3,2022.0,15000.0,Tự động,Xăng
153,580.000.000 đ,Toyota,Camry,2015.0,90000.0,Tự động,Xăng
154,418.000.000 đ,Kia,Morning,2022.0,9000.0,Tự động,Xăng
155,155.000.000 đ,Hyundai,Getz,2007.0,120000.0,Tự động,Xăng
156,500.000.000 đ,Mitsubishi,Xpander,2019.0,13000.0,Tự động,Xăng
157,248.000.000 đ,Kia,Carens,2014.0,112000.0,Tự động,Xăng
158,445.000.000 đ,Mitsubishi,Xpander,2019.0,80000.0,Số sàn,Xăng
159,166.000.000 đ,Mitsubishi,Jolie,2005.0,70000.0,Số sàn,Xăng
160,530.000.000 đ,Honda,CR V,2014.0,76000.0,Tự động,Xăng
161,205.000.000 đ,Kia,Morning,2011.0,12000.0,Tự động,Xăng
162,235.000.000 đ,Ford,Fiesta,2011.0,110000.0,Tự động,Xăng
163,340.000.000 đ,Toyota,Vios,2017.0,90000.0,Số sàn,Xăng
164,345.000.000 đ,Chevrolet,Colorado,2017.0,120.0,Số sàn,Dầu
165,729.000.000 đ,Toyota,Camry,2017.0,80000.0,Tự động,Xăng
166,635.000.000 đ,Mitsubishi,Outlander,2019.0,99500.0,Tự động,Xăng
167,318.000.000 đ,Kia,Morning,2012.0,71000.0,Tự động,Xăng
168,343.000.000 đ,Vinfast,Fadil,2022.0,134600.0,Tự động,Xăng
169,768.000.000 đ,Toyota,Camry,2019.0,48200.0,Tự động,Xăng
170,408.000.000 đ,Toyota,Vios,2017.0,82000.0,Tự động,Xăng
171,1.399.000.000 đ,Kia,Carnival,2021.0,38000.0,Tự động,Dầu
172,285.000.000 đ,Toyota,Yaris,2009.0,90000.0,Tự động,Xăng
173,896.000.000 đ,Mercedes Benz,C Class,2019.0,20000.0,Tự động,Xăng
174,363.000.000 đ,Hyundai,Accent,2019.0,62000.0,Số sàn,Xăng
175,760.000.000 đ,Nissan,X trail,2019.0,60000.0,Tự động,Xăng
176,155.000.000 đ,Smart,Forfour,2005.0,120000.0,Số sàn,Xăng
177,1.139.000.000 đ,Mercedes Benz,GLC Class,2017.0,40000.0,Tự động,Xăng
178,439.000.000 đ,Toyota,Vios,2019.0,60000.0,Tự động,Xăng
179,350.000.000 đ,Toyota,Innova,2013.0,120000.0,Tự động,Xăng
180,355.000.000 đ,Kia,Rio,2016.0,68000.0,Tự động,Xăng
181,595.000.000 đ,Kia,Seltos,2022.0,2800.0,Tự động,Xăng
182,248.000.000 đ,Kia,Morning,2016.0,79000.0,Tự động,Xăng
183,635.000.000 đ,Kia,Seltos,2020.0,28000.0,Tự động,Xăng
184,795.000.000 đ,Mercedes Benz,C Class,2016.0,90000.0,Tự động,Xăng
185,275.000.000 đ,Toyota,Land Cruiser,2001.0,170000.0,Số sàn,Xăng
186,395.000.000 đ,Mazda,3,2016.0,100000.0,Tự động,Xăng
188,115.000.000 đ,Mitsubishi,Lancer,2002.0,19000.0,Số sàn,Xăng
189,390.000.000 đ,Toyota,Vios,2019.0,66000.0,Số sàn,Xăng
190,398.000.000 đ,Toyota,Vios,2017.0,7000.0,Tự động,Xăng
192,918.000.000 đ,Toyota,Camry,2019.0,24000.0,Tự động,Xăng
193,685.000.000 đ,Chevrolet,Trailblazer,2018.0,50000.0,Tự động,Dầu
195,520.000.000 đ,Hyundai,Kona,2018.0,60000.0,Tự động,Xăng
196,155.000.000 đ,Kia,Morning,2011.0,112.0,Số sàn,Xăng
197,450.000.000 đ,Toyota,Fortuner,2013.0,64000.0,Tự động,Xăng
198,195.000.000 đ,Honda,Civic,2008.0,120000.0,Số sàn,Xăng
199,775.000.000 đ,Kia,K5,2022.0,1000.0,Tự động,Xăng
200,670.000.000 đ,Mercedes Benz,GLA Class,2015.0,60000.0,Bán tự động,Xăng
201,755.000.000 đ,Hyundai,Tucson,2020.0,39000.0,Tự động,Xăng
202,375.000.000 đ,Toyota,Vios,2018.0,89000.0,Số sàn,Xăng
203,440.000.000 đ,Mitsubishi,Pajero Sport,2014.0,90000.0,Tự động,Xăng
204,330.000.000 đ,Kia,Cerato,2011.0,100000.0,Tự động,Xăng
205,355.000.000 đ,Toyota,Sienna,2004.0,99000.0,Tự động,Xăng
206,725.000.000 đ,Peugeot,2008,2021.0,12000.0,Tự động,Xăng
207,366.000.000 đ,Kia,Soluto,2019.0,37000.0,Tự động,Xăng
208,248.000.000 đ,Chevrolet,Aveo,2016.0,80000.0,Tự động,Xăng
209,290.000.000 đ,Hyundai,Grand i10,2018.0,650000.0,Số sàn,Xăng
210,455.000.000 đ,Kia,Cerato,2017.0,68000.0,Tự động,Xăng
211,399.500.000 đ,Mitsubishi,Grunder,2010.0,91500.0,Tự động,Xăng
212,760.000.000 đ,Mazda,CX 8,2019.0,60000.0,Tự động,Xăng
213,895.000.000 đ,Ford,Everest,2020.0,43000.0,Tự động,Dầu
214,298.000.000 đ,Toyota,Vios,2011.0,101999.0,Tự động,Xăng
215,495.000.000 đ,Toyota,Camry,2013.0,70000.0,Tự động,Xăng
